pl_name,discoverymethod,pl_orbper,pl_eqt,st_spectype,pl_rade,pl_masse,st_radv,st_lumstr,st_mass
Kepler-1167 b,Transit,1.003933739,1419,,1.71,,,-0.5358931,0.79
Kepler-1740 b,Transit,8.172400475,858,,3.32321414,,,-0.07942043,0.943
Kepler-1581 b,Transit,6.28385491,1108,,0.8,,-6.34237,"<div><span class=supersubNumber"">0.3908491</span><span class=""superscript"">+0.0217060</span><span class=""subscript"">-0.0381841</span></div>""",1.12
Kepler-644 b,Transit,3.173917103,1655,,3.15,,,0.7104062,1.49
Kepler-1752 b,Transit,56.35850143,419,,4.54060463,,,-0.3981945,0.824
Kepler-280 c,Transit,4.807091,1088,,2.01,,,-0.06436836,0.962
Kepler-1208 b,Transit,11.08507637,665,,2.32,,,-0.5534917,0.8
Kepler-263 c,Transit,47.332773,386,,2.47,,,-0.456141,0.793
Kepler-1101 b,Transit,81.3151059,393,,2.47,,,-0.3513474,0.94
HD 168746 b,Radial Velocity,6.404,900,G5,11.1,,-25.562,0.0414,1.07
K2-19 b,Transit,7.9222,779,G9 V,7,3.24E+01,7.31191,"<div><span class=supersubNumber"">-0.2919551</span><span class=""superscript"">+0.0185051</span><span class=""subscript"">-0.0212626</span></div>""",0.88
Kepler-560 b,Transit,18.47764449,298,,1.72,,,"<div><span class=supersubNumber"">-1.717</span><span class=""superscript"">+0.082</span><span class=""subscript"">-0.075</span></div>""",0.34
Kepler-150 d,Transit,12.56093,734,,2.79,,,-0.1614107,0.956
Kepler-498 b,Transit,9.61375356,931,,3.03,,,0.1724181,0.98
Kepler-817 b,Transit,3.990106229,1124,,9.03,,,0.08609205,1.03
Kepler-937 b,Transit,67.668827,495,,3.72,,,0.2809745,1.15
K2-10 b,Transit,19.30553,649,F9,3.773,2.52E+01,8.203,"<div><span class=supersubNumber"">-0.1008845</span><span class=""superscript"">+0.0140835</span><span class=""subscript"">-0.0181508</span></div>""",0.88
Kepler-571 b,Transit,4.798599388,978,,2.64,,,-0.2225271,0.93
Kepler-1458 b,Transit,47.9872764,493,,2.76,,,-0.2403203,0.96
K2-335 b,Transit,12.283211,949,,2.21,,,"<div><span class=supersubNumber"">0.3950932</span><span class=""superscript"">+0.0324830</span><span class=""subscript"">-0.0316779</span></div>""",1.23
Kepler-1600 c,Transit,7.298049927,786,,1.94206512,,,-0.3394463,0.818
Kepler-221 d,Transit,10.04156,712,,2.73,3.61E+00,,-0.4042886,0.854
Kepler-626 b,Transit,14.48585199,784,,2.29,,,-0.04194194,1.01
